STATEFP,COUNTYFP,COUNTYNS,NAME,LSAD,ALAND,AWATER,Erosion,DolarsCCSeed,CornNoTill,SoyNoTill,CornSyNoTill,CornConvTill,SoyConvTill,PercentCCResidue,GovProgramAcres
17,23,424213,Clark,6,1298695036,8796711,5.3,38000,0.9,8.7,4.8,94.1,20.7,0.2,7654
17,93,424248,Kendall,6,829468028,5136619,13.3,37000,0.4,36,18.2,46.3,2.5,0,257
17,9,424206,Brown,6,791704469,4139310,55.2,127000,6.9,34.8,20.85,51.1,11.2,1.9,13485
17,187,1785134,Warren,6,1404747944,1674135,17.1,149000,24.9,43.1,34,3.9,1.4,0,3841
17,181,1785113,Union,6,1070856127,22502069,24.8,368000,13.9,60.7,37.3,47.2,21.4,7.5,19038
17,83,424243,Jersey,6,956445338,20311971,13.6,47000,18.7,52,35.35,29.2,3,0.2,6514
17,123,424260,Marshall,6,1001866831,30364348,2.5,331000,22.8,33,27.9,0.6,0.5,5,2533
17,171,424286,Scott,6,649861225,4812707,8.1,24000,29.4,60.4,44.9,12.3,0.5,1.3,4421
17,91,424247,Kankakee,6,1752121058,12440760,0.8,223000,3.9,40.2,22.05,68.6,5.9,0.8,3214
17,71,424237,Henderson,6,981059027,42557504,17.1,107000,12,40.2,26.1,4.7,0.5,0,4037
17,87,424245,Johnson,6,890762652,12789863,8,32000,78.6,71.9,75.25,0,4.7,0,14379
17,11,424207,Bureau,6,2250916543,11606402,0.6,256000,3.4,19.6,11.5,18.9,3.7,0.6,11849
17,177,1785076,Stephenson,6,1462219648,1350223,1.9,186000,15.6,55.4,35.5,15.8,2.6,0.6,9207
17,155,424279,Putnam,6,414659150,31195045,3.8,78000,36,29.1,32.55,0,0,11.3,1039
17,169,1785037,Schuyler,6,1132511778,10511618,2.9,53000,12.9,42.5,27.7,77.1,8.6,1.9,8489
17,75,424239,Iroquois,6,2894067723,4209399,7.5,697000,6.1,30.5,18.3,59.4,4.8,1.5,20429
17,191,424296,Wayne,6,1848948304,4224962,14.4,286000,15.3,56.9,36.1,59.7,19.9,2.3,23465
17,199,1785215,Williamson,6,1088263100,62602559,14.3,123000,18.5,37.5,28,55.6,22.5,5.8,7367
17,145,1784940,Perry,6,1144157907,13416186,31.6,63000,37.1,65.6,51.35,5,7.9,2.8,4270
17,51,424227,Fayette,6,1855715976,22931323,43.5,83000,2.8,21.5,12.15,93.3,30,2.7,11693
17,65,424234,Hamilton,6,1125696542,3172088,1.7,41000,27.4,56.9,42.15,62.8,20.9,6.3,18214
17,153,1784966,Pulaski,6,515887463,10473575,2,55000,34.8,71.1,52.95,65.2,25.6,12.1,5809
17,105,424254,Livingston,6,2702980759,5975818,11.5,208000,12.6,16.2,14.4,65.2,8.3,0.8,11807
17,129,424266,Menard,6,814394259,2640418,5.8,51000,40.9,47.4,44.15,12.9,1.8,1.9,8350
17,179,1785094,Tazewell,6,1674222062,29832978,11.8,175000,30.2,32.9,31.55,14.9,2.2,2.6,9506
17,41,424222,Douglas,6,1079156581,1448702,0.2,75000,0.4,11.5,5.95,93,11.5,0.6,2920
17,109,1784729,McDonough,6,1526558588,2012555,23.3,179000,29.4,56.5,42.95,30.2,2.7,0.8,3693
17,113,1784833,McLean,6,3064559693,7853695,0.3,540000,9,37.1,23.05,26.5,1.3,0.7,9744
17,175,424288,Stark,6,745984521,708705,22.8,83000,18.7,46.3,32.5,0,0,0.8,3405
17,53,424228,Ford,6,1257690125,1640596,1.5,120000,0.6,26.7,13.65,95.4,28.9,1.8,7036
17,183,1785114,Vermilion,6,2326560311,7531159,1.7,157000,0,4.1,2.05,86.6,15.5,1,10621
17,13,424208,Calhoun,6,657402921,77058387,9,24000,22,45.7,33.85,47.5,15.2,0,10067
17,101,424252,Lawrence,6,963936864,5077783,4.4,121000,7.7,44.4,26.05,27,12.9,14.3,5175
17,47,424225,Edwards,6,576061989,781203,28.6,53000,32.8,71.1,51.95,47.2,7.8,0.9,4504
17,151,424277,Pope,6,955109665,14328524,3.6,41000,25.5,46,35.75,51.1,27,0,9772
17,37,422190,DeKalb,6,1635174009,8532272,6.5,190000,5.6,22.3,13.95,47.5,4.1,0.6,4554
17,141,1784894,Ogle,6,1964742119,11425028,15.6,91000,10,28.7,19.35,36,5.6,1.5,7305
17,103,424253,Lee,6,1877336056,10634483,7.6,345000,6.2,22.9,14.55,16,3.6,1.2,4485
17,81,424242,Jefferson,6,1479418967,32683606,62.9,134000,9.2,52,30.6,51.3,11.1,10,16231
17,135,1784866,Montgomery,6,1822450014,15512963,0,325000,2.1,21.3,11.7,73.7,10.6,2.4,16410
17,99,422247,LaSalle,6,2940116335,33701591,8.2,359000,14.4,35.5,24.95,68.1,24.2,0.2,7510
17,45,424224,Edgar,6,1614558743,1583699,2.3,93000,10.1,42.2,26.15,78.9,1,3.2,5381
17,115,424256,Macon,6,1503684098,13406667,0,157000,0.3,17.1,8.7,86.3,8.9,1.6,2829
17,43,422191,DuPage,6,848808625,22435476,0,0,0,0,0,0,0,0,336
17,61,424232,Greene,6,1406415355,8423898,0,198000,11.9,50.3,31.1,86.2,13.9,0,12938
17,17,424210,Cass,6,973191108,20570537,13.1,69000,50.3,53.2,51.75,0,0,0.6,11313
17,163,1784987,St. Clair,6,1703509128,42001352,6,83000,0.9,28,14.45,20.2,4.2,5.4,1899
17,39,426598,De Witt,6,1029654716,19515948,3,31000,0.3,14.8,7.55,85,9.3,2.2,2835
17,165,424283,Saline,6,983905217,18001305,10.8,63000,26.9,63.1,45,43.5,13.7,2.2,6200
17,15,424209,Carroll,6,1152657063,55892254,0.4,73000,10.3,38.8,24.55,4.9,0.9,0,11178
17,33,424218,Crawford,6,1148953805,5718140,27,98000,0,16,8,60.3,26.2,17.2,10669
17,143,1784920,Peoria,6,1602352656,30706564,19.7,79000,14.8,64.3,39.55,5.7,1.3,1.1,5801
17,63,424233,Grundy,6,1082842942,32125973,1,55000,11.3,47.7,29.5,69.7,5.3,0.2,2511
17,173,1785051,Shelby,6,1964543080,24746071,1.5,164000,0,5.4,2.7,64.7,7.3,0.1,11922
17,107,424255,Logan,6,1600795502,2252736,4.4,698000,36.2,30.3,33.25,5,0.4,0.7,9081
17,31,1784766,Cook,6,2447370818,1786313044,0,14000,0,0,0,0,0,0,171
17,55,424229,Franklin,6,1059098605,58350789,57.3,58000,8.4,53.6,31,57.9,8.7,12.3,9072
17,193,424297,White,6,1281491812,18346746,46.2,113000,30.6,66.4,48.5,50,11.2,2.8,12041
17,67,424235,Hancock,6,2055722033,53564033,66.6,393000,4.3,52,28.15,24.4,4.1,2.2,13888
17,127,1784730,Massac,6,614391204,11903726,10.2,116000,63,85,74,28.3,8.1,4.4,8733
17,119,424258,Madison,6,1854559319,63450780,15.9,115000,0.6,2.4,1.5,77.1,18.6,0.5,4791
17,159,424281,Richland,6,932537547,4874777,4.1,259000,11.6,44,27.8,83.3,16,1.5,5883
17,185,424293,Wabash,6,578264185,10973558,3.3,208000,4.2,37.9,21.05,63,11.1,0.4,2563
17,25,424214,Clay,6,1212815749,3271820,12.7,92000,5,46.1,25.55,70.6,20.1,0.7,15357
17,85,424244,Jo Daviess,6,1556339128,45776829,23.8,136000,15.3,45.2,30.25,23.6,3.5,2.4,15889
17,167,1785010,Sangamon,6,2248877362,22577724,0.8,111000,2.5,15.7,9.1,81.6,26,0.6,9128
17,139,1784885,Moultrie,6,870123798,22102741,0,87000,0.4,5.6,3,99.6,1.3,0,2464
17,195,1785167,Whiteside,6,1772158753,31836569,42.2,276000,12.7,38.2,25.45,17.8,4.1,4.5,17516
17,7,424205,Boone,6,727171389,3361806,6.3,27000,3.6,25,14.3,62.5,10.8,0,410
17,133,1784865,Monroe,6,997908512,33784324,0.2,44000,2.4,20.3,11.35,9.6,11.6,5.7,2216
17,203,1785231,Woodford,6,1366946108,38461366,4.7,239000,18.4,39.6,29,54.7,7.8,4.7,7742
17,29,424216,Coles,6,1316459189,4631826,17.7,30000,0,10.8,5.4,76.2,16.4,1.3,6690
17,69,424236,Hardin,6,459650851,10640803,10.4,2000,0,12.5,6.25,88.9,66.7,0,3709
17,89,424246,Kane,6,1345134059,12490587,8,97000,6.4,23.4,14.9,65.7,10.6,0.3,430
17,35,424219,Cumberland,6,895929073,2529531,7.5,113000,5.8,16,10.9,89.1,28.8,2,10779
17,121,424259,Marion,6,1482641176,9301714,7.4,71000,6.7,34.4,20.55,86.6,22.5,3,1880
17,197,1785190,Will,6,2164927644,34548925,1.3,57000,1.8,30.1,15.95,13,1.6,0.3,539
17,97,1784796,Lake,6,1149803084,2394144252,0,8000,0,0,0,0,0,0,164
17,77,424240,Jackson,6,1512739198,47416092,0,161000,20.2,35.4,27.8,76.9,50.5,1.3,7927
17,147,424275,Piatt,6,1137399517,755574,0,87000,0.3,13.7,7,91.2,4.3,0,2182
17,149,1784941,Pike,6,2153325386,45283711,17.6,124000,6.3,38.5,22.4,12.9,6.3,0.8,28423
17,59,424231,Gallatin,6,836540182,13265237,9.9,43000,5,30.5,17.75,75.1,45.3,2,4327
17,189,1785150,Washington,6,1457059688,3456567,7,125000,3.9,26.5,15.2,89.8,30.9,1.9,5016
17,125,424261,Mason,6,1396795583,62748510,1.7,194000,6.4,43,24.7,0.7,0,0.5,21043
17,95,424249,Knox,6,1855569287,8837382,2.2,449000,31.2,77.6,54.4,1.7,0,0.7,10753
17,79,424241,Jasper,6,1281043664,9334509,19.7,367000,8.1,25.2,16.65,86.7,23.4,1.6,11197
17,201,1785216,Winnebago,6,1329234270,15455847,5.9,56000,33.7,52.8,43.25,9.6,0.8,1.4,8433
17,57,424230,Fulton,6,2242157116,43975590,17.8,278000,10.2,65,37.6,0.3,1.2,0.2,8734
17,117,424257,Macoupin,6,2234952036,12252472,18.3,184000,4,23.4,13.7,72.3,11.4,2.3,16053
17,111,1784815,McHenry,6,1562818741,19869602,6.4,52000,28.7,28.2,28.45,45,12,1.5,2111
17,131,1784750,Mercer,6,1453497670,19409929,18.1,103000,44.2,60.3,52.25,0.9,1,1.4,11921
17,21,424212,Christian,6,1837575850,16221210,0,80000,0,2.8,1.4,98.4,0,0,8674
17,137,424270,Morgan,6,1473180230,9059958,1.3,327000,15.4,33.5,24.45,42,3.5,3,6582
17,157,1784967,Randolph,6,1490060417,56152454,0.3,125000,14.9,83.7,49.3,62.8,3.1,0,7134
17,161,424282,Rock Island,6,1106960127,61870420,1.3,197000,47.9,71.6,59.75,8.3,1.2,1.3,6552
17,5,424204,Bond,6,985073312,6462629,4.5,45000,0.6,18.6,9.6,28.6,3.3,1.8,5822
17,73,424238,Henry,6,2131558653,6855644,0,162000,44.2,37.9,41.05,14.7,1.1,1,16564
17,1,424202,Adams,6,2214804824,41767689,9.2,196000,7.3,34.5,20.9,10.9,2.2,3.2,14342
17,27,424215,Clinton,6,1227664369,75635324,7,183000,3.3,16.5,9.9,95.4,70.6,1.7,4980
17,19,424211,Champaign,6,2579909092,6099477,0.6,265000,0.3,23.7,12,93.6,20.4,1.1,8685
17,49,424226,Effingham,6,1239970330,3183217,13.4,211000,0.9,18.4,9.65,94.6,29.4,3.9,15394
17,3,424203,Alexander,6,609996948,44237171,0,23000,0,29.2,14.6,96.7,66.7,0.7,1211
